player_name,team,avg_load,max_load,high_load_matches,total_matches,fatigue_risk
Abdoul Karim Yoda,Getafe,53.93,117.6,2,18,11.1
Abdoulaye Doucouré,Granada,82.09,127.5,6,15,40.0
Abraham González Casanova,Espanyol,47.58,93.6,0,20,0.0
Adalberto Peñaranda Maestre,Granada,74.23,149.6,5,23,21.7
Aderllan Leandro de Jesus Santos,Valencia,69.25,104.8,1,17,5.9
Adil Rami,Sevilla,47.43,73.2,0,28,0.0
Adnane Tighadouini,Málaga,31.08,66.6,0,10,0.0
Adriano Correia Claro,Barcelona,51.82,83.8,0,8,0.0
Adrián Embarba Blázquez,Rayo Vallecano,66.23,114.0,2,28,7.1
Adrián González Morales,Eibar,58.1,106.0,2,32,6.2
Adrián López Álvarez,Villarreal,42.29,88.4,0,16,0.0
Adrián Marín Gómez,Villarreal,75.52,107.7,1,11,9.1
Ager Aketxe Barrutia,Athletic Club,54.6,74.3,0,3,0.0
Alberto De La Bella Madureño,Real Sociedad,68.33,97.0,0,15,0.0
Alberto García Cabrera,Sporting Gijón,15.73,22.8,0,6,0.0
Alberto Guitián Ceballos,Sporting Gijón,57.4,57.4,0,1,0.0
Alberto Lopo García,RC Deportivo La Coruña,53.09,90.0,0,10,0.0
Alberto Lora Ramos,Sporting Gijón,66.73,106.9,2,31,6.5
Alberto Mateus Contreiras Gonçalves,Rayo Vallecano,26.54,87.6,0,28,0.0
Aleix Vidal Parreu,Barcelona,58.67,101.1,1,9,11.1
Alejandro Arribas Garrido,RC Deportivo La Coruña,65.07,91.3,0,31,0.0
Alejandro Barrera García,Sporting Gijón,21.26,39.2,0,5,0.0
Alejandro Bergantiños García,RC Deportivo La Coruña,77.28,127.8,6,22,27.3
Alejandro Menéndez Díez,Sporting Gijón,46.25,111.3,1,21,4.8
Aleksandar Pantić,Eibar,47.97,68.5,0,20,0.0
Alen Halilović,Sporting Gijón,47.02,87.7,0,36,0.0
Alexis Ruano Delgado,Getafe,46.29,63.2,0,15,0.0
Alfonso Pedraza Sag,Villarreal,45.2,51.2,0,2,0.0
Alfred John Momar N''Diaye,Real Betis,88.9,156.4,5,34,14.7
Alhassane Bangoura,Rayo Vallecano,48.94,90.8,0,16,0.0
Alphonse Areola,Villarreal,11.96,20.0,0,32,0.0
Anaitz Arbilla Zabala,Espanyol,84.67,104.2,1,7,14.3
Ander Capa Rodríguez,Eibar,72.64,117.4,2,36,5.6
Ander Gayoso Reina,Eibar,5.7,5.7,0,1,0.0
Ander Iturraspe Derteano,Athletic Club,50.02,90.7,0,16,0.0
Andreu Fontàs Prat,Celta Vigo,85.26,127.9,3,7,42.9
André Filipe Tavares Gomes,Valencia,97.06,140.2,15,30,50.0
Andrés Eduardo Fernández Moreno,Granada,14.74,24.3,0,37,0.0
Andrés Iniesta Luján,Barcelona,90.86,140.7,10,28,35.7
Andrés Pascual Santoja,Valencia,31.5,31.5,0,1,0.0
Antoine Griezmann,Atlético Madrid,80.53,122.2,8,38,21.1
Antolín Alcáraz Viveros,Las Palmas,68.87,94.3,0,6,0.0
Antonio Adán Garrido,Real Betis,14.59,25.7,0,36,0.0
Antonio Amaya Carazo,Rayo Vallecano,47.53,88.3,0,17,0.0
Antonio Barragán Fernández,Valencia,59.23,115.9,1,24,4.2
Antonio García Aranda,Levante UD,72.37,100.7,0,27,0.0
Antonio Jesús Cotán Pérez,Sevilla,100.5,100.5,0,1,0.0
Antonio José Raillo Arenas,Espanyol,45.25,67.0,0,4,0.0
Antonio Manuel Luna Rodríguez,Eibar,52.87,87.8,0,15,0.0
Antonio Rodríguez Martínez,Rayo Vallecano,17.51,23.3,0,10,0.0
Antonio Rukavina,Villarreal,49.52,99.5,0,18,0.0
António Alberto Bastos Pimparel,Sevilla,14.68,18.6,0,4,0.0
Aras Özbiliz,Rayo Vallecano,28.8,38.4,0,3,0.0
Arda Turan,Barcelona,58.98,122.5,3,18,16.7
Aritz Aduriz Zubeldia,Athletic Club,55.85,93.6,0,34,0.0
Aritz Elustondo Irribaria,Real Sociedad,72.65,115.7,3,31,9.7
Armindo Tué Na Bangna,Real Sociedad,46.81,112.9,1,32,3.1
Arnaldo Antonio Sanabria Ayala,Sporting Gijón,70.93,113.1,2,29,6.9
Arthur Etienne Boka,Málaga,62.42,94.2,0,14,0.0
Asier Illarramendi Andonegi,Real Sociedad,103.47,148.8,22,33,66.7
Asier Riesgo Unamuno,Eibar,14.51,20.3,0,34,0.0
Augusto Matías Fernández,Atlético Madrid,75.32,181.6,2,13,15.4
Augusto Matías Fernández,Celta Vigo,120.6,155.3,11,15,73.3
Aymen Abdennour,Valencia,64.63,96.8,0,22,0.0
Aymeric Laporte,Athletic Club,67.75,97.4,0,26,0.0
Aythami Artiles Oliva,Las Palmas,72.08,110.4,3,31,9.7
Benoît Trémoulinas,Sevilla,58.92,91.2,0,24,0.0
Bernard Mensah,Getafe,12.95,21.0,0,8,0.0
Bernardo José Espinosa Zúñiga,Sporting Gijón,62.88,91.7,0,16,0.0
Beñat Etxebarria Urkiaga,Athletic Club,86.09,154.7,8,36,22.2
Bojan Jokić,Villarreal,58.85,85.4,0,2,0.0
Borja Ekiza Imaz,Eibar,33.52,45.0,0,4,0.0
Borja Fernández Fernández,Celta Vigo,29.6,57.0,0,4,0.0
Borja González Tomás,Eibar,62.32,109.4,2,36,5.6
Borja Mayoral Moya,Real Madrid,48.55,99.4,0,6,0.0
Borja Viguera Manzanares,Athletic Club,29.47,81.0,0,9,0.0
Bruno González Cabrera,Real Betis,69.3,99.5,0,32,0.0
Bruno Soriano Llido,Villarreal,74.9,110.6,2,31,6.5
Carl Medjani,Levante UD,53.96,77.4,0,14,0.0
Carles Planas Antolínez,Celta Vigo,77.29,126.1,9,24,37.5
Carlos Alberto Vela Garrido,Real Sociedad,69.02,134.9,1,35,2.9
Carlos Carbonell Gil,Valencia,10.5,10.5,0,1,0.0
Carlos Carmona Bonet,Sporting Gijón,78.42,158.6,7,20,35.0
Carlos Castro García,Sporting Gijón,29.3,67.0,0,25,0.0
Carlos Fernández Luna,Sevilla,14.2,14.2,0,1,0.0
Carlos Gurpegi Nausia,Athletic Club,52.25,85.0,0,15,0.0
Carlos Henrique Casimiro,Real Madrid,85.75,136.9,12,23,52.2
Carlos Martín Vigaray,Getafe,73.29,115.7,2,14,14.3
Carlos Martínez Díez,Real Sociedad,51.83,104.0,2,9,22.2
Celso Borges Mora,RC Deportivo La Coruña,67.31,107.2,1,24,4.2
Charles Días Barbosa de Oliveira,Málaga,60.2,92.1,0,35,0.0
Charly Musonda Junior,Real Betis,73.81,100.3,0,16,0.0
Chengdong Zhang,Rayo Vallecano,16.6,16.6,0,1,0.0
Christian Atsu Twasam,Málaga,33.73,84.0,0,11,0.0
Ciro Immobile,Sevilla,37.2,77.8,0,8,0.0
Claudio Andrés Bravo Muñoz,Barcelona,17.98,40.5,0,32,0.0
Claudio Beauvue,Celta Vigo,45.15,83.9,0,10,0.0
Claudio Matías Kranevitter,Atlético Madrid,37.64,89.0,0,8,0.0
Cristiano Biraghi,Granada,61.71,94.0,0,32,0.0
Cristiano Piccini,Real Betis,79.68,101.0,1,16,6.2
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,46.93,69.5,0,36,0.0
Cédric Bakambu,Villarreal,48.27,102.4,1,34,2.9
Damián Nicolás Suárez Suárez,Getafe,80.48,128.3,6,31,19.4
Dani Castellano Betancor,Las Palmas,77.0,112.7,3,27,11.1
Daniel Alves da Silva,Barcelona,89.35,137.0,10,29,34.5
Daniel Arnaud N''Di	,Sporting Gijón,47.83,82.8,0,15,0.0
Daniel Carvajal Ramos,Real Madrid,78.62,126.5,7,22,31.8
Daniel Ceballos Fernández,Real Betis,77.33,154.1,11,34,32.4
Daniel Filipe Martins Carriço,Sevilla,62.22,102.3,1,14,7.1
Daniel García Carrillo,Eibar,80.34,114.6,3,35,8.6
Daniel Giménez Hernández,Real Betis,12.7,18.0,0,3,0.0
Daniel Parejo Muñoz,Valencia,106.79,186.7,21,33,63.6
Daniel Wass,Celta Vigo,66.19,101.1,1,36,2.8
Daniele Bonera,Villarreal,45.19,75.1,0,14,0.0
Danilo Barbosa da Silva,Valencia,76.65,127.8,5,19,26.3
Danilo Luiz da Silva,Real Madrid,80.17,134.4,2,24,8.3
David Barral Torres,Granada,25.21,54.0,0,14,0.0
David Carmona Sierra,Sevilla,99.2,99.2,0,1,0.0
David García Santana,Las Palmas,63.09,91.5,0,19,0.0
David Goldar Gómez,Celta Vigo,62.1,62.1,0,1,0.0
David Juncà Reñé,Eibar,62.85,96.5,0,31,0.0
David Navarro Pedrós,Levante UD,47.67,68.2,0,20,0.0
David Rodríguez Lombán,Granada,52.73,87.3,0,30,0.0
David Simón Rodríguez Santana,Las Palmas,77.6,140.6,4,27,14.8
David Zurutuza Veillet,Real Sociedad,82.61,114.8,4,16,25.0
Dejan Dražić,Celta Vigo,13.62,33.5,0,6,0.0
Denis Cheryshev,Real Madrid,26.75,32.0,0,2,0.0
Denis Cheryshev,Valencia,76.19,99.5,0,7,0.0
Denis Suárez Fernández,Villarreal,73.23,113.7,4,33,12.1
Deyverson Brum Silva Acosta,Levante UD,61.55,114.7,2,33,6.1
Didier Digard,Real Betis,40.19,79.1,0,8,0.0
Diego Alende López,Celta Vigo,30.8,30.8,0,1,0.0
Diego Alves Carreira,Valencia,14.01,21.8,0,13,0.0
Diego Antonio Reyes Rosales,Real Sociedad,64.7,92.7,0,27,0.0
Diego González Polanco,Sevilla,46.75,79.6,0,2,0.0
Diego Javier Llorente Ríos,Rayo Vallecano,80.0,126.3,3,33,9.1
Diego Mainz García,Granada,45.48,68.8,0,5,0.0
