match_id,team,total_passes,completed_passes,pass_accuracy
265839,Barcelona,720,610,84.72
265839,Sevilla,339,232,68.44
265894,Barcelona,597,504,84.42
265894,Málaga,314,217,69.11
265944,Barcelona,744,648,87.1
265944,Sporting Gijón,291,196,67.35
265958,Barcelona,625,542,86.72
265958,Espanyol,308,216,70.13
266056,Barcelona,773,670,86.68
266056,Eibar,374,265,70.86
266106,Barcelona,719,629,87.48
266106,Villarreal,346,271,78.32
266149,Athletic Club,244,157,64.34
266149,Barcelona,775,676,87.23
266160,Barcelona,658,565,85.87
266160,Levante UD,310,223,71.94
266166,Atlético Madrid,353,273,77.34
266166,Barcelona,755,657,87.02
266236,Athletic Club,353,215,60.91
266236,Barcelona,736,596,80.98
266254,Barcelona,579,477,82.38
266254,Celta Vigo,335,245,73.13
266310,Barcelona,748,692,92.51
266310,RC Deportivo La Coruña,403,319,79.16
266424,Barcelona,671,591,88.08
266424,Real Madrid,486,383,78.81
266467,Barcelona,517,412,79.69
266467,Celta Vigo,414,314,75.85
266490,Barcelona,712,623,87.5
266490,Levante UD,328,247,75.3
266498,Barcelona,711,638,89.73
266498,Getafe,323,244,75.54
266557,Barcelona,686,582,84.84
266557,Valencia,300,202,67.33
266620,Barcelona,691,595,86.11
266620,Granada,358,272,75.98
266653,Barcelona,549,460,83.79
266653,Rayo Vallecano,335,246,73.43
266664,Barcelona,726,613,84.44
266664,Real Sociedad,272,174,63.97
266670,Barcelona,643,539,83.83
266670,Espanyol,266,158,59.4
266815,Barcelona,810,728,89.88
266815,Sporting Gijón,234,152,64.96
266885,Barcelona,571,468,81.96
266885,Real Sociedad,451,355,78.71
266961,Barcelona,727,635,87.35
266961,RC Deportivo La Coruña,345,256,74.2
266986,Barcelona,777,688,88.55
266986,Real Betis,278,198,71.22
267273,Barcelona,609,525,86.21
267273,Las Palmas,529,448,84.69
267274,Barcelona,758,660,87.07
267274,Valencia,325,223,68.62
267327,Barcelona,610,509,83.44
267327,Real Betis,362,264,72.93
267422,Barcelona,697,599,85.94
267422,Málaga,259,158,61.0
267506,Barcelona,595,514,86.39
267506,Granada,316,232,73.42
267533,Barcelona,712,645,90.59
267533,Real Madrid,350,279,79.71
267576,Atlético Madrid,308,224,72.73
267576,Barcelona,719,642,89.29
267611,Barcelona,658,567,86.17
267611,Las Palmas,343,247,72.01
3825562,Málaga,427,331,77.52
3825562,Sevilla,344,241,70.06
3825563,Atlético Madrid,674,549,81.45
3825563,Las Palmas,424,321,75.71
3825564,RC Deportivo La Coruña,544,413,75.92
3825564,Real Sociedad,417,288,69.06
3825565,Espanyol,317,200,63.09
3825565,Getafe,587,472,80.41
3825566,Rayo Vallecano,475,360,75.79
3825566,Valencia,395,271,68.61
3825567,Real Madrid,698,581,83.24
3825567,Sporting Gijón,349,218,62.46
3825568,Real Betis,477,351,73.58
3825568,Villarreal,263,164,62.36
3825569,Celta Vigo,707,611,86.42
