match_id,team,total_pressures
265839,Barcelona,127
265839,Sevilla,164
265894,Barcelona,85
265894,Málaga,146
265944,Barcelona,106
265944,Sporting Gijón,239
265958,Barcelona,107
265958,Espanyol,180
266056,Barcelona,73
266056,Eibar,221
266106,Barcelona,86
266106,Villarreal,177
266149,Athletic Club,141
266149,Barcelona,70
266160,Barcelona,167
266160,Levante UD,159
266166,Atlético Madrid,246
266166,Barcelona,126
266236,Athletic Club,316
266236,Barcelona,67
266254,Barcelona,194
266254,Celta Vigo,207
266310,Barcelona,167
266310,RC Deportivo La Coruña,188
266424,Barcelona,113
266424,Real Madrid,156
266467,Barcelona,138
266467,Celta Vigo,180
266490,Barcelona,111
266490,Levante UD,266
266498,Barcelona,139
266498,Getafe,209
266557,Barcelona,146
266557,Valencia,188
266620,Barcelona,192
266620,Granada,240
266653,Barcelona,120
266653,Rayo Vallecano,193
266664,Barcelona,128
266664,Real Sociedad,218
266670,Barcelona,147
266670,Espanyol,237
266815,Barcelona,69
266815,Sporting Gijón,253
266885,Barcelona,81
266885,Real Sociedad,204
266961,Barcelona,147
266961,RC Deportivo La Coruña,237
266986,Barcelona,135
266986,Real Betis,198
267273,Barcelona,205
267273,Las Palmas,138
267274,Barcelona,116
267274,Valencia,232
267327,Barcelona,130
267327,Real Betis,172
267422,Barcelona,64
267422,Málaga,175
267506,Barcelona,136
267506,Granada,136
267533,Barcelona,81
267533,Real Madrid,159
267576,Atlético Madrid,213
267576,Barcelona,124
267611,Barcelona,137
267611,Las Palmas,147
3825562,Málaga,92
3825562,Sevilla,146
3825563,Atlético Madrid,156
3825563,Las Palmas,163
3825564,RC Deportivo La Coruña,137
3825564,Real Sociedad,131
3825565,Espanyol,209
3825565,Getafe,120
3825566,Rayo Vallecano,175
3825566,Valencia,242
3825567,Real Madrid,66
3825567,Sporting Gijón,191
3825568,Real Betis,85
3825568,Villarreal,128
3825569,Celta Vigo,106
3825569,Levante UD,125
3825570,Eibar,198
3825570,Granada,123
3825571,Espanyol,121
3825571,Villarreal,155
3825572,Real Betis,125
3825572,Real Madrid,104
3825573,Real Sociedad,109
3825573,Sporting Gijón,219
3825574,Celta Vigo,216
3825574,Rayo Vallecano,172
3825575,Las Palmas,139
3825575,Levante UD,185
3825576,RC Deportivo La Coruña,166
3825576,Valencia,145
3825577,Getafe,93
3825577,Granada,162
3825578,Athletic Club,135
3825578,Eibar,147
3825579,Atlético Madrid,141
3825579,Sevilla,96
3825580,Levante UD,131
3825580,Sevilla,139
3825581,Espanyol,126
3825581,Real Madrid,151
3825582,Real Betis,164
3825582,Real Sociedad,124
3825583,Sporting Gijón,175
3825583,Valencia,159
3825584,Granada,117
3825584,Villarreal,147
3825585,Celta Vigo,158
3825585,Las Palmas,91
3825586,Eibar,202
3825586,Málaga,142
3825587,Athletic Club,145
3825587,Getafe,149
3825588,RC Deportivo La Coruña,174
3825588,Rayo Vallecano,154
3825589,Getafe,222
3825589,Málaga,161
3825590,Granada,202
3825590,Real Madrid,148
3825591,Real Betis,111
3825591,Valencia,150
3825592,Espanyol,124
3825592,Real Sociedad,138
3825593,Atlético Madrid,102
3825593,Eibar,178
3825594,Celta Vigo,155
3825594,Sevilla,155
3825595,Athletic Club,165
3825595,Villarreal,136
3825596,RC Deportivo La Coruña,125
3825596,Sporting Gijón,153
3825597,Las Palmas,171
3825597,Rayo Vallecano,122
3825598,Atlético Madrid,159
3825598,Getafe,144
3825599,Espanyol,165
3825599,Valencia,157
3825600,Málaga,93
3825600,Villarreal,192
3825601,Rayo Vallecano,122
3825601,Sporting Gijón,178
3825602,Athletic Club,154
3825602,Real Madrid,93
3825603,RC Deportivo La Coruña,176
3825603,Real Betis,139
3825604,Granada,130
3825604,Valencia,143
3825605,Rayo Vallecano,113
3825605,Sevilla,166
3825606,Málaga,119
3825606,Real Madrid,62
3825607,Atlético Madrid,172
3825607,Villarreal,213
3825608,Celta Vigo,146
3825608,Eibar,171
3825609,Athletic Club,183
3825609,Real Sociedad,136
3825610,Real Betis,145
3825610,Sporting Gijón,135
3825611,Espanyol,122
3825611,RC Deportivo La Coruña,132
3825612,Getafe,147
3825612,Levante UD,119
3825613,Celta Vigo,178
3825613,Getafe,128
3825614,Granada,158
3825614,RC Deportivo La Coruña,148
3825615,Espanyol,172
3825615,Sporting Gijón,174
3825616,Málaga,160
3825616,Real Sociedad,126
3825617,Barcelona,90
3825617,Sevilla,195
3825618,Eibar,221
3825618,Las Palmas,144
3825619,Levante UD,110
3825619,Villarreal,130
3825620,Rayo Vallecano,151
3825620,Real Betis,172
3825621,Atlético Madrid,171
3825621,Real Madrid,138
3825622,Athletic Club,101
3825622,Valencia,109
3825623,Málaga,155
3825623,Valencia,228
3825624,Eibar,166
3825624,Sevilla,119
3825625,Levante UD,121
3825625,Real Madrid,116
3825626,Espanyol,154
3825626,Real Betis,159
3825627,Barcelona,172
3825627,Rayo Vallecano,163
3825628,Getafe,96
3825628,Las Palmas,144
3825629,Celta Vigo,142
3825629,Villarreal,114
3825630,Athletic Club,113
3825630,RC Deportivo La Coruña,154
3825631,Atlético Madrid,182
3825631,Real Sociedad,119
3825632,Granada,136
3825632,Sporting Gijón,111
3825633,Espanyol,100
3825633,Rayo Vallecano,82
3825634,Granada,224
3825634,Real Betis,156
3825635,Celta Vigo,182
3825635,Real Madrid,102
3825636,Málaga,73
3825636,RC Deportivo La Coruña,158
3825637,Barcelona,109
3825637,Eibar,145
3825638,Atlético Madrid,144
3825638,Valencia,177
3825639,Las Palmas,143
3825639,Villarreal,188
3825640,Levante UD,121
3825640,Real Sociedad,169
3825641,Athletic Club,167
3825641,Sporting Gijón,111
3825642,Atlético Madrid,136
3825642,RC Deportivo La Coruña,178
3825643,Las Palmas,154
3825643,Real Madrid,137
3825644,Celta Vigo,153
3825644,Real Sociedad,173
3825645,Barcelona,133
3825645,Getafe,138
3825646,Sevilla,125
3825646,Villarreal,95
3825647,Levante UD,105
3825647,Valencia,157
3825648,Eibar,193
3825648,Rayo Vallecano,144
3825649,Málaga,97
3825649,Sporting Gijón,140
3825650,Athletic Club,148
3825650,Real Betis,159
3825651,Espanyol,120
3825651,Granada,174
3825652,Las Palmas,195
3825652,Real Sociedad,90
3825653,Eibar,157
3825653,Getafe,127
3825654,Celta Vigo,158
3825654,Valencia,164
3825655,Granada,102
3825655,Rayo Vallecano,133
3825656,Levante UD,133
3825656,RC Deportivo La Coruña,97
3825657,Málaga,156
3825657,Real Betis,135
3825658,Atlético Madrid,126
3825658,Sporting Gijón,61
3825659,Athletic Club,164
3825659,Espanyol,125
3825660,Barcelona,121
3825660,Villarreal,122
3825661,Real Madrid,108
3825661,Sevilla,154
3825662,Celta Vigo,146
3825662,RC Deportivo La Coruña,177
3825663,Espanyol,144
3825663,Málaga,129
3825664,Real Sociedad,127
3825664,Sevilla,158
3825665,Athletic Club,123
3825665,Granada,105
3825666,Atlético Madrid,170
3825666,Real Betis,129
3825667,Eibar,155
3825667,Villarreal,112
3825668,Levante UD,97
3825668,Sporting Gijón,184
3825669,Getafe,219
3825669,Rayo Vallecano,159
3825670,Levante UD,143
3825670,Real Betis,122
3825671,Celta Vigo,140
3825671,Sporting Gijón,128
3825672,Granada,120
3825672,Málaga,80
3825673,Las Palmas,83
3825673,RC Deportivo La Coruña,119
3825674,Atlético Madrid,105
3825674,Espanyol,234
3825675,Athletic Club,195
3825675,Rayo Vallecano,119
3825676,Getafe,179
3825676,Villarreal,145
3825677,Sevilla,134
3825677,Valencia,150
3825678,Eibar,179
3825678,Real Madrid,143
