match_id,team,total_shots,goals,shots_on_target
265839,Barcelona,15,2,14
265839,Sevilla,12,1,10
265894,Barcelona,11,2,11
265894,Málaga,14,1,11
265944,Barcelona,23,6,23
265944,Sporting Gijón,4,0,4
265958,Barcelona,14,5,14
265958,Espanyol,4,0,4
266056,Barcelona,10,4,10
266056,Eibar,7,0,6
266106,Barcelona,15,2,15
266106,Villarreal,15,1,14
266149,Athletic Club,9,0,9
266149,Barcelona,20,6,20
266160,Barcelona,11,1,11
266160,Levante UD,14,0,9
266166,Atlético Madrid,11,1,11
266166,Barcelona,14,2,12
266236,Athletic Club,6,0,6
266236,Barcelona,10,1,9
266254,Barcelona,20,6,18
266254,Celta Vigo,10,1,8
266310,Barcelona,17,8,16
266310,RC Deportivo La Coruña,17,0,16
266424,Barcelona,18,4,18
266424,Real Madrid,13,0,13
266467,Barcelona,18,1,17
266467,Celta Vigo,19,4,19
266490,Barcelona,20,4,20
266490,Levante UD,11,1,11
266498,Barcelona,15,5,14
266498,Getafe,6,0,6
266557,Barcelona,22,1,22
266557,Valencia,7,1,6
266620,Barcelona,17,4,15
266620,Granada,8,0,8
266653,Barcelona,21,5,16
266653,Rayo Vallecano,8,1,8
266664,Barcelona,13,0,13
266664,Real Sociedad,5,1,4
266670,Barcelona,10,0,8
266670,Espanyol,4,0,4
266815,Barcelona,17,3,15
266815,Sporting Gijón,6,1,6
266885,Barcelona,12,4,9
266885,Real Sociedad,10,0,10
266961,Barcelona,19,2,19
266961,RC Deportivo La Coruña,12,2,12
266986,Barcelona,12,2,12
266986,Real Betis,2,0,2
267273,Barcelona,12,2,12
267273,Las Palmas,16,1,16
267274,Barcelona,16,1,15
267274,Valencia,10,1,10
267327,Barcelona,16,3,11
267327,Real Betis,13,0,10
267422,Barcelona,23,1,21
267422,Málaga,4,0,4
267506,Barcelona,12,3,12
267506,Granada,7,0,6
267533,Barcelona,14,1,14
267533,Real Madrid,15,2,14
267576,Atlético Madrid,7,1,6
267576,Barcelona,10,2,10
267611,Barcelona,16,2,16
267611,Las Palmas,10,1,10
3825562,Málaga,26,0,24
3825562,Sevilla,10,0,10
3825563,Atlético Madrid,12,1,10
3825563,Las Palmas,7,0,6
3825564,RC Deportivo La Coruña,16,0,14
3825564,Real Sociedad,10,0,10
3825565,Espanyol,5,1,4
3825565,Getafe,13,0,11
3825566,Rayo Vallecano,8,0,8
3825566,Valencia,10,0,10
3825567,Real Madrid,27,0,24
3825567,Sporting Gijón,6,0,4
3825568,Real Betis,22,1,16
3825568,Villarreal,8,1,7
3825569,Celta Vigo,14,2,12
3825569,Levante UD,11,1,10
3825570,Eibar,10,3,8
3825570,Granada,13,1,12
3825571,Espanyol,5,1,4
3825571,Villarreal,15,3,15
3825572,Real Betis,7,0,6
3825572,Real Madrid,21,5,18
3825573,Real Sociedad,14,0,14
3825573,Sporting Gijón,7,0,7
3825574,Celta Vigo,13,3,13
3825574,Rayo Vallecano,3,0,3
3825575,Las Palmas,16,0,14
3825575,Levante UD,3,0,3
3825576,RC Deportivo La Coruña,12,1,11
3825576,Valencia,13,1,12
3825577,Getafe,15,1,13
3825577,Granada,9,2,8
3825578,Athletic Club,9,0,9
3825578,Eibar,9,2,8
3825579,Atlético Madrid,17,3,16
3825579,Sevilla,25,0,23
3825580,Levante UD,14,1,11
3825580,Sevilla,8,1,7
3825581,Espanyol,15,0,15
3825581,Real Madrid,15,6,14
3825582,Real Betis,9,1,9
3825582,Real Sociedad,15,0,13
3825583,Sporting Gijón,15,0,15
3825583,Valencia,17,1,16
