player_name,team,matches_played,goals,total_shots,dribbles_won,pressures,interceptions,blocks,clearances,total_passes,pass_accuracy,rating,rating_100
Abdoul Karim Yoda,Getafe,18,0,8,40,172,22,20,20,526.0,0.0,209.6,30.07
Abdoulaye Doucouré,Granada,15,0,10,10,286,23,27,15,577.0,0.0,207.3,29.74
Abraham González Casanova,Espanyol,20,1,16,2,207,25,24,7,531.0,0.0,174.1,24.97
Adalberto Peñaranda Maestre,Granada,23,5,22,40,397,9,40,5,381.0,0.0,313.1,44.91
Aderllan Leandro de Jesus Santos,Valencia,17,0,8,8,170,42,34,90,657.0,0.0,292.0,41.89
Adil Rami,Sevilla,28,0,16,3,136,27,36,109,1099.0,0.0,270.3,38.77
Adnane Tighadouini,Málaga,10,1,15,16,48,0,3,0,146.0,0.0,58.4,8.38
Adriano Correia Claro,Barcelona,8,0,1,3,58,4,7,6,361.0,0.0,46.9,6.73
Adrián Embarba Blázquez,Rayo Vallecano,28,2,40,30,353,27,32,24,761.0,0.0,312.9,44.89
Adrián González Morales,Eibar,32,5,47,12,381,27,50,24,1030.0,0.0,348.8,50.04
Adrián López Álvarez,Villarreal,16,4,8,9,124,2,12,7,345.0,0.0,115.7,16.6
Adrián Marín Gómez,Villarreal,11,0,1,8,131,24,31,27,545.0,0.0,173.3,24.86
Ager Aketxe Barrutia,Athletic Club,3,0,4,1,30,1,3,1,95.0,0.0,20.0,2.87
Alberto De La Bella Madureño,Real Sociedad,15,0,4,5,150,30,35,47,808.0,0.0,214.0,30.7
Alberto García Cabrera,Sporting Gijón,6,0,0,0,0,0,1,0,206.0,0.0,1.5,0.22
Alberto Guitián Ceballos,Sporting Gijón,1,0,0,1,10,3,2,5,28.0,0.0,18.5,2.65
Alberto Lopo García,RC Deportivo La Coruña,10,0,4,1,67,13,15,38,342.0,0.0,110.1,15.79
Alberto Lora Ramos,Sporting Gijón,31,0,6,11,362,63,62,79,1333.0,0.0,426.1,61.12
